Bank_Name,Cust_Name,Account_No,Loan_Type,Due_Amount,Due_Date,Priority,Recovered_by_Agent,Recovered_by_AI,Recovered_by_Field_Agent,Recovered_Date,Recovered_Amount,Remaining_Due_Amount
SBI,Brian Hudson,XXXX2367,House,444809.82,20-01-2024,High,,1,,31-01-2024,444555.63,30170.59
SBI,Donna Miller,XXXX8739,Car,185862.6,06-02-2025,High,,,1,09-07-2025,,0
SBI,Paul Espinoza,XXXX7471,Car,207704.74,14-03-2025,Low,,,1,10-10-2025,300805.65,16383.85
ICICI Bank,Andrew Buchanan,XXXX6380,House,91251.96,03-06-2025,High,1,,,08-08-2025,203254.31,20690.56
SBI,Sierra Oneill,XXXX7786,House,71821.58,12-11-2024,Low,1,,,07-10-2024,240898.27,3665.5
SBI,Hailey Wilson,XXXX3606,Car,358879.81,08-11-2023,Medium,,1,,23-06-2023,,0
HDFC Bank,Teresa Stephenson,XXXX6083,Car,221938.44,16-09-2023,High,1,,,16-09-2023,162902.47,1532.5
SBI,Joshua Ryan,XXXX2568,House,212956.44,03-11-2023,High,,1,,17-02-2023,375467.45,4459.84
HDFC Bank,Elizabeth Martinez,XXXX2482,Car,401850.3,16-06-2025,Low,,,1,21-10-2025,370602.39,24567.07
Axis Bank,Tonya Villegas,XXXX2896,House,376169.69,26-12-2023,Low,1,,,30-07-2023,266072.51,17366.64
HDFC Bank,Daniel Glenn,XXXX1806,House,149307.25,11-08-2023,Low,,,1,09-01-2023,494073.04,2826.95
HDFC Bank,Joshua Parker,XXXX5080,House,184803.9,05-09-2024,Low,1,,,02-09-2024,,0
Kotak Mahindra,Paula Riddle,XXXX6032,House,483278.27,21-05-2024,Medium,1,,,04-09-2024,287946.48,7805.56
Axis Bank,Jason Miller,XXXX3528,Car,108509.55,23-09-2023,Low,1,,,27-05-2023,195949.42,12455.54
SBI,Kimberly Young,XXXX8687,House,163644.03,11-12-2024,Low,1,,,04-02-2024,,0
ICICI Bank,Michael Alvarado,XXXX1168,Car,244398.17,03-06-2025,Low,,1,,13-10-2025,393573.8,12595.73
Kotak Mahindra,Travis Holt,XXXX7376,House,499056.58,20-02-2024,Medium,,1,,12-06-2024,224101.4,8746.72
Kotak Mahindra,John Holmes,XXXX4958,House,177061.22,06-02-2024,High,,1,,09-07-2024,168477.72,13794.48
Kotak Mahindra,Herbert Carey,XXXX9268,House,262366.28,30-12-2024,High,1,,,17-08-2024,253716.99,1304.33
ICICI Bank,Allison Sanchez,XXXX9342,Car,231194.96,14-04-2024,High,1,,,22-02-2024,,0
Axis Bank,Cole Lee,XXXX5395,House,230855.33,14-04-2025,High,,1,,15-04-2025,,0
HDFC Bank,Matthew Armstrong,XXXX7481,Car,420775.04,07-04-2024,Low,,1,,01-08-2024,426772.32,17925.26
